cue	response	R1	N	R1.Strength
5	nùmero	2	70	0.0285714285714286
5	10	1	70	0.0142857142857143
5	4	1	70	0.0142857142857143
5	6	1	70	0.0142857142857143
5	amigos	1	70	0.0142857142857143
5	cumpleaños	1	70	0.0142857142857143
5	estrellas	1	70	0.0142857142857143
5	familia	1	70	0.0142857142857143
5	five	1	70	0.0142857142857143
5	lugar	1	70	0.0142857142857143
5	mitad	1	70	0.0142857142857143
5	par	1	70	0.0142857142857143
5	payana	1	70	0.0142857142857143
5	penta	1	70	0.0142857142857143
5	quinto	1	70	0.0142857142857143
5	seis	1	70	0.0142857142857143
5	sentidos	1	70	0.0142857142857143
5	sin comentarios	1	70	0.0142857142857143
5	verano	1	70	0.0142857142857143
6	número	28	69	0.405797101449275
6	seis	8	69	0.115942028985507
6	7	5	69	0.072463768115942
6	5	4	69	0.0579710144927536
6	siete	4	69	0.0579710144927536
6	666	2	69	0.0289855072463768
6	sexto	2	69	0.0289855072463768
6	4	1	69	0.0144927536231884
6	69	1	69	0.0144927536231884
6	9	1	69	0.0144927536231884
6	99	1	69	0.0144927536231884
6	catre	1	69	0.0144927536231884
6	cuantificar	1	69	0.0144927536231884
6	dedos	1	69	0.0144927536231884
6	defensor	1	69	0.0144927536231884
6	iron maiden	1	69	0.0144927536231884
6	junio	1	69	0.0144927536231884
6	nueros	1	69	0.0144927536231884
6	numeto	1	69	0.0144927536231884
6	reloj	1	69	0.0144927536231884
6	sagrado	1	69	0.0144927536231884
6	sesenta y seis	1	69	0.0144927536231884
6	uno	1	69	0.0144927536231884
7	número	28	69	0.405797101449275
7	8	10	69	0.144927536231884
7	siete	5	69	0.072463768115942
7	6	3	69	0.0434782608695652
7	suerte	3	69	0.0434782608695652
7	días	2	69	0.0289855072463768
7	pecados	2	69	0.0289855072463768
7	7	1	69	0.0144927536231884
7	años	1	69	0.0144927536231884
7	ataque	1	69	0.0144927536231884
7	azar	1	69	0.0144927536231884
7	cereal	1	69	0.0144927536231884
7	culo	1	69	0.0144927536231884
7	domingo	1	69	0.0144927536231884
7	felicidad	1	69	0.0144927536231884
7	maravillas	1	69	0.0144927536231884
7	matemática	1	69	0.0144927536231884
7	ocho	1	69	0.0144927536231884
7	seis	1	69	0.0144927536231884
7	seven	1	69	0.0144927536231884
7	Seven	1	69	0.0144927536231884
7	te escupí	1	69	0.0144927536231884
7	trabajo	1	69	0.0144927536231884
8	número	29	68	0.426470588235294
8	ocho	9	68	0.132352941176471
8	9	5	68	0.0735294117647059
8	bizcocho	2	68	0.0294117647058824
8	octavo	2	68	0.0294117647058824
8	4 + 4	1	68	0.0147058823529412
8	7	1	68	0.0147058823529412
8	alcohol	1	68	0.0147058823529412
8	años	1	68	0.0147058823529412
8	bola	1	68	0.0147058823529412
8	bola 8	1	68	0.0147058823529412
8	broche	1	68	0.0147058823529412
8	cantidad	1	68	0.0147058823529412
8	cumpleaños	1	68	0.0147058823529412
8	de octubre	1	68	0.0147058823529412
8	exoterico	1	68	0.0147058823529412
8	hey	1	68	0.0147058823529412
8	infinito	1	68	0.0147058823529412
8	lotería	1	68	0.0147058823529412
8	negro	1	68	0.0147058823529412
8	nueve	1	68	0.0147058823529412
8	números	1	68	0.0147058823529412
8	pool	1	68	0.0147058823529412
8	Rivero	1	68	0.0147058823529412
8	veinticuatro	1	68	0.0147058823529412
8	vidas	1	68	0.0147058823529412
8 horas	trabajo	29	70	0.414285714285714
8 horas	dormir	9	70	0.128571428571429
8 horas	tiempo	4	70	0.0571428571428571
8 horas	laburo	3	70	0.0428571428571429
8 horas	ayuno	2	70	0.0285714285714286
8 horas	jornada	2	70	0.0285714285714286
8 horas	jornada laboral	2	70	0.0285714285714286
8 horas	sueño	2	70	0.0285714285714286
8 horas	bruto	1	70	0.0142857142857143
8 horas	ciclo	1	70	0.0142857142857143
8 horas	descanso	1	70	0.0142857142857143
8 horas	en punto	1	70	0.0142857142857143
8 horas	espera	1	70	0.0142857142857143
8 horas	horario	1	70	0.0142857142857143
8 horas	jorbada	1	70	0.0142857142857143
8 horas	jornnada	1	70	0.0142857142857143
8 horas	laborales	1	70	0.0142857142857143
8 horas	largo	1	70	0.0142857142857143
8 horas	Marx	1	70	0.0142857142857143
8 horas	medicamentos	1	70	0.0142857142857143
8 horas	noche	1	70	0.0142857142857143
8 horas	reloj	1	70	0.0142857142857143
8 horas	tercio	1	70	0.0142857142857143
8 horas	trabajo jaja	1	70	0.0142857142857143
8 horas	trabajos	1	70	0.0142857142857143
a	b	17	67	0.253731343283582
a	letra	14	67	0.208955223880597
a	e	6	67	0.0895522388059701
a	vocal	4	67	0.0597014925373134
a	hacia	3	67	0.0447761194029851
a	preposición	3	67	0.0447761194029851
a	a	1	67	0.0149253731343284
a	a Buenos Aires	1	67	0.0149253731343284
a	abecedario	1	67	0.0149253731343284
a	aceituna	1	67	0.0149253731343284
a	alfabeto	1	67	0.0149253731343284
a	América	1	67	0.0149253731343284
a	amor	1	67	0.0149253731343284
a	arroz	1	67	0.0149253731343284
a	casa	1	67	0.0149253731343284
a	de	1	67	0.0149253731343284
a	destinatario	1	67	0.0149253731343284
a	la	1	67	0.0149253731343284
a	nada	1	67	0.0149253731343284
a	perro	1	67	0.0149253731343284
a	primero	1	67	0.0149253731343284
a	tal persona	1	67	0.0149253731343284
a	vacío	1	67	0.0149253731343284
a	ver	1	67	0.0149253731343284
a	vos	1	67	0.0149253731343284
a	z	1	67	0.0149253731343284
a alguien	persona	11	65	0.169230769230769
a alguien	dar	5	65	0.0769230769230769
a alguien	amar	3	65	0.0461538461538462
a alguien	a ti	2	65	0.0307692307692308
a alguien	aquel	2	65	0.0307692307692308
a alguien	cualquiera	2	65	0.0307692307692308
a alguien	ese	2	65	0.0307692307692308
a alguien	+hijo	1	65	0.0153846153846154
a alguien	a alguno	1	65	0.0153846153846154
a alguien	a esa persona	1	65	0.0153846153846154
a alguien	a quien	1	65	0.0153846153846154
a alguien	a un	1	65	0.0153846153846154
a alguien	a vos	1	65	0.0153846153846154
a alguien	acusar	1	65	0.0153846153846154
a alguien	alga	1	65	0.0153846153846154
a alguien	alguno	1	65	0.0153846153846154
a alguien	ayuda	1	65	0.0153846153846154
a alguien	dar algo	1	65	0.0153846153846154
a alguien	después	1	65	0.0153846153846154
a alguien	destinado	1	65	0.0153846153846154
a alguien	destinatario	1	65	0.0153846153846154
a alguien	destino	1	65	0.0153846153846154
a alguien	dirigirse	1	65	0.0153846153846154
a alguien	empatía	1	65	0.0153846153846154
a alguien	entregar	1	65	0.0153846153846154
a alguien	entretener	1	65	0.0153846153846154
a alguien	familia	1	65	0.0153846153846154
a alguien	gente	1	65	0.0153846153846154
a alguien	j	1	65	0.0153846153846154
a alguien	le dije	1	65	0.0153846153846154
a alguien	le paso	1	65	0.0153846153846154
a alguien	lejano	1	65	0.0153846153846154
a alguien	llevar	1	65	0.0153846153846154
a alguien	mamá	1	65	0.0153846153846154
a alguien	otra persona	1	65	0.0153846153846154
a alguien	para ti	1	65	0.0153846153846154
a alguien	personas	1	65	0.0153846153846154
a alguien	puto	1	65	0.0153846153846154
a alguien	que	1	65	0.0153846153846154
a alguien	que quiero	1	65	0.0153846153846154
a alguien	querer	1	65	0.0153846153846154
a alguien	tuyo	1	65	0.0153846153846154
a alguien	usted	1	65	0.0153846153846154
a alguien	vecino	1	65	0.0153846153846154
a alguien	vos	1	65	0.0153846153846154
a favor	en contra	8	60	0.133333333333333
a favor	positivo	6	60	0.1
a favor	bueno	5	60	0.0833333333333333
a favor	de acuerdo	4	60	0.0666666666666667
a favor	con	3	60	0.05
a favor	aborto	2	60	0.0333333333333333
a favor	apoyo	2	60	0.0333333333333333
a favor	favorable	2	60	0.0333333333333333
a favor	voto	2	60	0.0333333333333333
a favor	abundancia	1	60	0.0166666666666667
a favor	adepto	1	60	0.0166666666666667
a favor	amigo	1	60	0.0166666666666667
a favor	beneficio	1	60	0.0166666666666667
a favor	bondad	1	60	0.0166666666666667
a favor	coincidencia	1	60	0.0166666666666667
a favor	con derecho	1	60	0.0166666666666667
a favor	de su lado	1	60	0.0166666666666667
a favor	deacuerdo	1	60	0.0166666666666667
a favor	dinero	1	60	0.0166666666666667
a favor	dirección	1	60	0.0166666666666667
a favor	elección	1	60	0.0166666666666667
a favor	en acuerdo	1	60	0.0166666666666667
a favor	en beneficio	1	60	0.0166666666666667
a favor	en lugar	1	60	0.0166666666666667
a favor	en pos	1	60	0.0166666666666667
a favor	favorecido	1	60	0.0166666666666667
a favor	gracias	1	60	0.0166666666666667
a favor	ideal	1	60	0.0166666666666667
a favor	lealtad	1	60	0.0166666666666667
a favor	positivamente	1	60	0.0166666666666667
a favor	promulgar	1	60	0.0166666666666667
a favor	te debo una	1	60	0.0166666666666667
a favor	tiempo	1	60	0.0166666666666667
a favor	va bien	1	60	0.0166666666666667
a favor	vientos	1	60	0.0166666666666667
a gusto	cómodo	13	70	0.185714285714286
a gusto	feliz	5	70	0.0714285714285714
a gusto	conforme	4	70	0.0571428571428571
a gusto	placentero	4	70	0.0571428571428571
a gusto	placer	3	70	0.0428571428571429
a gusto	satisfecho	3	70	0.0428571428571429
a gusto	bienestar	2	70	0.0285714285714286
a gusto	casa	2	70	0.0285714285714286
a gusto	comida	2	70	0.0285714285714286
a gusto	contento	2	70	0.0285714285714286
a gusto	afirmar	1	70	0.0142857142857143
a gusto	agrado	1	70	0.0142857142857143
